WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=»Û, matchedWordFrequency=1480, pySimilarity=5, bhSimilarity=13, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=ÂÖ, matchedWordFrequency=720, pySimilarity=7, bhSimilarity=8, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=¼È, matchedWordFrequency=638, pySimilarity=4, bhSimilarity=11, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=Ö±, matchedWordFrequency=497, pySimilarity=5, bhSimilarity=10, bsSimilarity=0, jgSimilarity=1, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=ÎÅ, matchedWordFrequency=645, pySimilarity=7, bhSimilarity=13, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=¿º, matchedWordFrequency=3309, pySimilarity=6, bhSimilarity=10, bsSimilarity=0, jgSimilarity=1, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=¾³, matchedWordFrequency=908, pySimilarity=6, bhSimilarity=10, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=Á¬, matchedWordFrequency=385, pySimilarity=6, bhSimilarity=11, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=Ñ³, matchedWordFrequency=3346, pySimilarity=7, bhSimilarity=10, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=³Û, matchedWordFrequency=2039, pySimilarity=3, bhSimilarity=10, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=´ý, matchedWordFrequency=688, pySimilarity=3, bhSimilarity=13, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=¶È, matchedWordFrequency=189, pySimilarity=9, bhSimilarity=11, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=½Ú, matchedWordFrequency=307, pySimilarity=5, bhSimilarity=9, bsSimilarity=1, jgSimilarity=1, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=Çà, matchedWordFrequency=476, pySimilarity=6, bhSimilarity=10, bsSimilarity=0, jgSimilarity=1, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=¼±, matchedWordFrequency=570, pySimilarity=4, bhSimilarity=11, bsSimilarity=0, jgSimilarity=1, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=ÙÈ, matchedWordFrequency=3948, pySimilarity=3, bhSimilarity=9, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=ÕÇ, matchedWordFrequency=834, pySimilarity=5, bhSimilarity=12, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=·±, matchedWordFrequency=1405, pySimilarity=6, bhSimilarity=13, bsSimilarity=0, jgSimilarity=1, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=Óæ, matchedWordFrequency=1712, pySimilarity=6, bhSimilarity=13, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=×±, matchedWordFrequency=2636, pySimilarity=8, bhSimilarity=12, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=Ó¡, matchedWordFrequency=519, pySimilarity=5, bhSimilarity=13, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=±Ú, matchedWordFrequency=1097, pySimilarity=4, bhSimilarity=18, bsSimilarity=0, jgSimilarity=1, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=À÷, matchedWordFrequency=1946, pySimilarity=4, bhSimilarity=11, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=½¿, matchedWordFrequency=2246, pySimilarity=6, bhSimilarity=13, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=²², matchedWordFrequency=2455, pySimilarity=5, bhSimilarity=16, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=Ðº, matchedWordFrequency=2266, pySimilarity=5, bhSimilarity=12, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
WordSimilarity [id=0, articleId=null, newWord=°ª, newWordFrequency=3512, matchedWord=²×, matchedWordFrequency=2668, pySimilarity=6, bhSimilarity=11, bsSimilarity=0, jgSimilarity=0, yySimilarity=0.0]
